,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
17808,SS-017495,32.888000000000005,MARGERUM AV,VIAR AV,FONTAINE ST,285.0355,40.0,Prime,AC Improved,11401.42,Poor,374969.90096,32.801145,-117.066156,32.8017716,-117.0667247
17809,SS-017496,60.41,MARGERUM AV,SALLISAW CT,VIAR AV,875.4141,40.0,Prime,AC Improved,35016.564,Fair,2115350.63124,32.8014643,-117.0634907,32.801145,-117.066156
17810,SS-017497,52.088,MARGERUM AV,PONCA CT,SALLISAW CT,416.0033,40.0,Prime,AC Improved,16640.131999999998,Fair,866751.195616,32.8008515,-117.0624695,32.8014643,-117.0634907
17811,SS-017498,46.044,MARGERUM AV,CROW CT,PONCA CT,807.409,40.0,Prime,AC Improved,32296.36,Fair,1487053.59984,32.799078,-117.0638405,32.8008515,-117.0624695
17812,SS-017499,48.5,MARGERUM AV,CAM ESTRELLADO,CROW CT,1045.6318,40.0,Prime,AC Improved,41825.272000000004,Fair,2028525.6919999998,32.7965374,-117.0639723,32.799078,-117.0638405
17813,SS-017500,86.36,MARGERUM AV,LARAMIE WY,MISSION GORGE RD,767.044,64.0,Collector,AC Improved,49090.816,Good,4239482.86976,32.8078149,-117.0665089,32.8095131,-117.0678827
17814,SS-017501,82.31200000000001,MARGERUM AV,HIGHPLACE DR,LARCHWOOD AV,1067.4782,40.0,Collector,AC Improved,42699.128,Good,3514650.6239360003,32.8047291,-117.0661115,32.8074733,-117.066141
17815,SS-017502,80.706,MARGERUM AV,FONTAINE ST,QUIET SLOPE DR,645.0321,40.0,Collector,AC Improved,25801.284,Good,2082318.426504,32.8017716,-117.0667247,32.8033515,-117.066109
17817,SS-017507,77.44800000000001,MARIANOPOLIS WY,LAURENTIAN DR,BOURGEOIS WY,1525.2354,36.0,Residential,AC Improved,54908.4744,Good,4252551.5253312,32.974307,-117.1262644,32.9780866,-117.1270357
17821,SS-017515,63.86,MARILOU RD,48TH ST,BROOKLINE ST,147.5207,32.0,Collector,AC Improved,4720.6624,Fair,301461.500864,32.7223191,-117.0919475,32.7223853,-117.0914745
17822,SS-017517,71.1,MARILOU RD,ALTADENA AV,54TH (E FTG) RD,378.0052,36.0,Residential,AC Improved,13608.1872,Good,967542.1099200001,32.7223226,-117.0861763,32.7223185,-117.089096
17824,SS-017519,75.72800000000001,MARILOUISE WY,ALTAMIRANO WY,ALTAMIRANO WY,449.0487,20.0,Residential,PCC Jointed Concrete,8980.974,Good,680111.199072,32.7557214,-117.191126,32.7557214,-117.191126
17825,SS-017520,99.4,MARILOUISE WY,PRESIDIO DR,ALTAMIRANO WY,397.6054,30.0,Residential,PCC Jointed Concrete,11928.162,Good,1185659.3028,32.755142,-117.190262,32.7557214,-117.191126
17826,SS-017522,61.843999999999994,MARINDUSTRY DR,MIRAMAR ML,MIRAMAR PL,1387.1026,34.0,Residential,AC Improved,47161.4884,Fair,2916655.0886096,32.8801604,-117.1828775,32.8801044,-117.1785066
17828,SS-017524,32.5,MARINE ST,CUVIER ST,DRAPER AV,294.0644,40.0,Residential,PCC Jointed Concrete,11762.576000000001,Poor,382283.72,32.8378038,-117.2768175,32.837991,-117.2759137
17829,SS-017525,16.128,MARINE ST,LA JOLLA BL,CUVIER ST,447.5021,40.0,Residential,PCC Jointed Concrete,17900.084,Poor,288692.554752,32.8374715,-117.2782418,32.8378038,-117.2768175
17830,SS-017526,46.5,MARINE ST,TYRIAN ST,LA JOLLA BL,78.0,40.0,Residential,AC Improved,3120.0,Fair,145080.0,32.8374145,-117.2784625,32.8374715,-117.2782418
17831,SS-017527,45.03,MARINE ST,OLIVETAS AV,TYRIAN ST,231.1927,40.0,Residential,AC Improved,9247.708,Fair,416424.29124,32.8372537,-117.2791906,32.8374145,-117.2784625
17832,SS-017528,74.0,MARINE ST,MONTE VISTA AV,OLIVETAS AV,224.6173,40.0,Prime,AC Improved,8984.692,Good,664867.208,32.8370762,-117.2798577,32.8372537,-117.2791906
17834,SS-017530,88.15,MARINE ST,HERSCHEL AV,HIGH AV,355.4131,52.0,Residential,AC Improved,18481.4812,Good,1629142.56778,32.8396015,-117.2710098,32.8397609,-117.2699527
17835,SS-017531,96.0,MARINE ST,VISTA DEL MAR AV,MONTE VISTA AV,256.8937,40.0,Residential,AC Improved,10275.748,Good,986471.808,32.8368857,-117.2806607,32.8370762,-117.2798577
17836,SS-017532,55.86,MARINE VIEW AV,I-5 NB ON RA,ANTHONY DR,659.1738,52.0,Residential,PCC Jointed Concrete,34277.0376,Fair,1914715.320336,32.684095,-117.1072822,32.68396,-117.107758
17837,SS-017533,86.52600000000001,MARINE VIEW AV,S 41ST ST,DIVISION ST,578.4582,36.0,Residential,AC Improved,20824.4952,Good,1801860.2716752,32.6846571,-117.1059655,32.6841119,-117.1047726
17838,SS-017534,82.19200000000001,MARINE VIEW AV,S 40TH ST,S 41ST ST,306.9579,40.0,Residential,AC Improved,12278.316,Good,1009179.3486719999,32.6842217,-117.1067944,32.6846571,-117.1059655
17839,SS-017535,30.44,MARINE VIEW AV,ANTHONY DR,S 40TH ST,308.6411,52.0,Residential,PCC Jointed Concrete,16049.3372,Poor,488541.82436800003,32.68396,-117.107758,32.6842217,-117.1067944
17842,SS-017544,87.73200000000001,MARIPOSA PL,S 58TH ST,GREYCOURT WY,394.7711,40.0,Residential,AC Improved,15790.844,Good,1385362.325808,32.6902501,-117.0720316,32.6912553,-117.0715303
17843,SS-017545,89.73200000000001,MARIPOSA PL,EBBS ST,S 58TH ST,514.5712,40.0,Residential,AC Improved,20582.848,Good,1846940.1167360002,32.6892333,-117.0730438,32.6902501,-117.0720316
17844,SS-017548,58.832,MARIPOSA PL,MARIPOSA ST,EBBS ST,684.0686,35.5,Residential,AC Improved,24284.4353,Fair,1428701.8975696,32.6885939,-117.0751547,32.6892333,-117.0730438
17846,SS-017550,69.48,MARIPOSA PL,GREYCOURT WY,AVA ST,924.7358,36.0,Residential,AC Improved,33290.4888,Fair,2313023.161824,32.6912553,-117.0715303,32.692531,-117.0690483
17848,SS-017553,71.252,MARISCO PT,PILON PT,CORDOBES CV,245.0885,32.0,Residential,AC Improved,7842.831999999999,Good,558817.465664,32.9424297,-117.2236871,32.943084,-117.2235074
17851,SS-017556,82.78,MARITIME PL,VOYAGER CR,LOWER RIDGE RD,168.7567,20.0,Residential,AC Improved,3375.134,Good,279393.59252,32.9524326,-117.2419651,32.9528772,-117.2419737
17852,SS-017557,90.63600000000001,MARJORIE DR,HARLAN CR,WOODROW AV,346.2564,36.0,Residential,AC Improved,12465.2304,Good,1129798.6225344,32.717851,-117.0368084,32.7187967,-117.0369224
17853,SS-017558,89.184,MARJORIE DR,VIEWCREST DR,HARLAN CR,969.1458,36.0,Residential,AC Improved,34889.2488,Good,3111562.7649792004,32.7153063,-117.0378177,32.717851,-117.0368084
17854,SS-017559,86.596,MARJORIE DR,MARMIL PL,VIEWCREST DR,711.413,36.0,Residential,AC Improved,25610.868,Good,2217798.725328,32.7140651,-117.0395279,32.7153063,-117.0378177
17855,SS-017560,91.33200000000001,MARJORIE DR,MINERVA DR,MARMIL PL,438.2037,36.0,Residential,AC Improved,15775.3332,Good,1440792.7318224,32.7129073,-117.0398834,32.7140651,-117.0395279
17857,SS-017562,35.571999999999996,MARKAB DR,AQUARIUS DR,MENKAR RD,1077.4321,36.0,Residential,AC Improved,38787.5556,Poor,1379750.9278032,32.930286,-117.140503,32.93322,-117.140663
17858,SS-017563,82.146,MARKET ST,01ST AV,02ND AV,280.0019,80.0,Major,AC Improved,22400.152000000002,Good,1840082.8861919998,32.7156498,-117.1639331,32.7158644,-117.1626071
17859,SS-017564,87.064,MARKET ST,02ND AV,03RD AV,279.9998,80.0,Major,AC Improved,22399.984,Good,1950232.2069759998,32.7158644,-117.1626071,32.7120433,-117.1622413
17860,SS-017565,85.58,MARKET ST,03RD AV,04TH AV,280.0001,80.0,Major,AC Improved,22400.007999999998,Good,1916992.68464,32.7120433,-117.1622413,32.7115309,-117.1610576
